country,date,sector,value,timestamp
Brazil,01-01-2019,Domestic Aviation,0.0237501,1546300800
Brazil,01-01-2019,International Aviation,0.0183979,1546300800
China,01-01-2019,Domestic Aviation,0.163042,1546300800
China,01-01-2019,International Aviation,0.0768968,1546300800
EU27 & UK,01-01-2019,Domestic Aviation,0.0319553,1546300800
EU27 & UK,01-01-2019,International Aviation,0.379329,1546300800
France,01-01-2019,Domestic Aviation,0.00393338,1546300800
France,01-01-2019,International Aviation,0.0441974,1546300800
Germany,01-01-2019,Domestic Aviation,0.00368439,1546300800
Germany,01-01-2019,International Aviation,0.0532237,1546300800
India,01-01-2019,Domestic Aviation,0.0201599,1546300800
India,01-01-2019,International Aviation,0.0329979,1546300800
Italy,01-01-2019,Domestic Aviation,0.00355779,1546300800
Italy,01-01-2019,International Aviation,0.0289729,1546300800
Japan,01-01-2019,Domestic Aviation,0.025295,1546300800
Japan,01-01-2019,International Aviation,0.047996,1546300800
ROW,01-01-2019,Domestic Aviation,0.173025,1546300800
ROW,01-01-2019,International Aviation,0.709955,1546300800
Russia,01-01-2019,Domestic Aviation,0.02073,1546300800
Russia,01-01-2019,International Aviation,0.026338,1546300800
Spain,01-01-2019,Domestic Aviation,0.0134434,1546300800
Spain,01-01-2019,International Aviation,0.0493005,1546300800
United Kingdom,01-01-2019,Domestic Aviation,0.00421355,1546300800
United Kingdom,01-01-2019,International Aviation,0.0780947,1546300800
United States,01-01-2019,Domestic Aviation,0.377226,1546300800
United States,01-01-2019,International Aviation,0.192096,1546300800
WORLD,01-01-2019,Domestic Aviation,0.835183,1546300800
WORLD,01-01-2019,International Aviation,1.48401,1546300800
Brazil,02-01-2019,Domestic Aviation,0.0329052,1546387200
Brazil,02-01-2019,International Aviation,0.0197613,1546387200
China,02-01-2019,Domestic Aviation,0.166188,1546387200
China,02-01-2019,International Aviation,0.0777394,1546387200
EU27 & UK,02-01-2019,Domestic Aviation,0.0417104,1546387200
EU27 & UK,02-01-2019,International Aviation,0.441635,1546387200
France,02-01-2019,Domestic Aviation,0.00549524,1546387200
France,02-01-2019,International Aviation,0.0461964,1546387200
Germany,02-01-2019,Domestic Aviation,0.00469265,1546387200
Germany,02-01-2019,International Aviation,0.0666168,1546387200
India,02-01-2019,Domestic Aviation,0.0206471,1546387200
India,02-01-2019,International Aviation,0.034902,1546387200
Italy,02-01-2019,Domestic Aviation,0.00492999,1546387200
Italy,02-01-2019,International Aviation,0.0358614,1546387200
Japan,02-01-2019,Domestic Aviation,0.0259239,1546387200
Japan,02-01-2019,International Aviation,0.0509921,1546387200
ROW,02-01-2019,Domestic Aviation,0.187302,1546387200
ROW,02-01-2019,International Aviation,0.761107,1546387200
Russia,02-01-2019,Domestic Aviation,0.034831,1546387200
Russia,02-01-2019,International Aviation,0.0320775,1546387200
Spain,02-01-2019,Domestic Aviation,0.0158845,1546387200
Spain,02-01-2019,International Aviation,0.0594718,1546387200
United Kingdom,02-01-2019,Domestic Aviation,0.00580974,1546387200
United Kingdom,02-01-2019,International Aviation,0.0854807,1546387200
United States,02-01-2019,Domestic Aviation,0.465117,1546387200
United States,02-01-2019,International Aviation,0.206229,1546387200
WORLD,02-01-2019,Domestic Aviation,0.974624,1546387200
WORLD,02-01-2019,International Aviation,1.62444,1546387200
Brazil,03-01-2019,Domestic Aviation,0.0333828,1546473600
Brazil,03-01-2019,International Aviation,0.0209149,1546473600
China,03-01-2019,Domestic Aviation,0.163078,1546473600
China,03-01-2019,International Aviation,0.0785732,1546473600
EU27 & UK,03-01-2019,Domestic Aviation,0.0423514,1546473600
EU27 & UK,03-01-2019,International Aviation,0.449766,1546473600
France,03-01-2019,Domestic Aviation,0.00517319,1546473600
France,03-01-2019,International Aviation,0.0504515,1546473600
Germany,03-01-2019,Domestic Aviation,0.00502864,1546473600
Germany,03-01-2019,International Aviation,0.069692,1546473600
India,03-01-2019,Domestic Aviation,0.0199101,1546473600
India,03-01-2019,International Aviation,0.0346596,1546473600
Italy,03-01-2019,Domestic Aviation,0.00488664,1546473600
Italy,03-01-2019,International Aviation,0.0333261,1546473600
Japan,03-01-2019,Domestic Aviation,0.0256251,1546473600
Japan,03-01-2019,International Aviation,0.050174,1546473600
ROW,03-01-2019,Domestic Aviation,0.191743,1546473600
ROW,03-01-2019,International Aviation,0.780727,1546473600
Russia,03-01-2019,Domestic Aviation,0.0375244,1546473600
Russia,03-01-2019,International Aviation,0.0323907,1546473600
Spain,03-01-2019,Domestic Aviation,0.015145,1546473600
Spain,03-01-2019,International Aviation,0.0574753,1546473600
United Kingdom,03-01-2019,Domestic Aviation,0.00716073,1546473600
United Kingdom,03-01-2019,International Aviation,0.0894577,1546473600
United States,03-01-2019,Domestic Aviation,0.498628,1546473600
United States,03-01-2019,International Aviation,0.219479,1546473600
WORLD,03-01-2019,Domestic Aviation,1.01224,1546473600
WORLD,03-01-2019,International Aviation,1.66669,1546473600
Brazil,04-01-2019,Domestic Aviation,0.032854,1546560000
Brazil,04-01-2019,International Aviation,0.0205183,1546560000
China,04-01-2019,Domestic Aviation,0.164228,1546560000
China,04-01-2019,International Aviation,0.0785603,1546560000
EU27 & UK,04-01-2019,Domestic Aviation,0.0422933,1546560000
EU27 & UK,04-01-2019,International Aviation,0.461629,1546560000
France,04-01-2019,Domestic Aviation,0.00554629,1546560000
France,04-01-2019,International Aviation,0.0502848,1546560000
Germany,04-01-2019,Domestic Aviation,0.00464659,1546560000
Germany,04-01-2019,International Aviation,0.0718047,1546560000
India,04-01-2019,Domestic Aviation,0.0204366,1546560000
India,04-01-2019,International Aviation,0.0377498,1546560000
Italy,04-01-2019,Domestic Aviation,0.00497894,1546560000
Italy,04-01-2019,International Aviation,0.0359483,1546560000
Japan,04-01-2019,Domestic Aviation,0.0256026,1546560000
Japan,04-01-2019,International Aviation,0.0504859,1546560000
ROW,04-01-2019,Domestic Aviation,0.189743,1546560000
ROW,04-01-2019,International Aviation,0.787372,1546560000
Russia,04-01-2019,Domestic Aviation,0.0402467,1546560000
Russia,04-01-2019,International Aviation,0.0307936,1546560000
Spain,04-01-2019,Domestic Aviation,0.014914,1546560000
Spain,04-01-2019,International Aviation,0.0591975,1546560000
United Kingdom,04-01-2019,Domestic Aviation,0.00726954,1546560000
United Kingdom,04-01-2019,International Aviation,0.0912012,1546560000
United States,04-01-2019,Domestic Aviation,0.483353,1546560000
United States,04-01-2019,International Aviation,0.222405,1546560000
WORLD,04-01-2019,Domestic Aviation,0.998757,1546560000
WORLD,04-01-2019,International Aviation,1.68951,1546560000
Brazil,05-01-2019,Domestic Aviation,0.0312063,1546646400
Brazil,05-01-2019,International Aviation,0.0221384,1546646400
China,05-01-2019,Domestic Aviation,0.159385,1546646400
China,05-01-2019,International Aviation,0.0849021,1546646400
EU27 & UK,05-01-2019,Domestic Aviation,0.0324237,1546646400
EU27 & UK,05-01-2019,International Aviation,0.468586,1546646400
France,05-01-2019,Domestic Aviation,0.00412921,1546646400
France,05-01-2019,International Aviation,0.052412,1546646400
Germany,05-01-2019,Domestic Aviation,0.00279938,1546646400
Germany,05-01-2019,International Aviation,0.0723479,1546646400
India,05-01-2019,Domestic Aviation,0.0202223,1546646400
India,05-01-2019,International Aviation,0.0356085,1546646400
Italy,05-01-2019,Domestic Aviation,0.00450801,1546646400
Italy,05-01-2019,International Aviation,0.0341179,1546646400
Japan,05-01-2019,Domestic Aviation,0.0245025,1546646400
Japan,05-01-2019,International Aviation,0.0509869,1546646400
ROW,05-01-2019,Domestic Aviation,0.172803,1546646400
ROW,05-01-2019,International Aviation,0.814507,1546646400
Russia,05-01-2019,Domestic Aviation,0.0377107,1546646400
Russia,05-01-2019,International Aviation,0.0349482,1546646400
Spain,05-01-2019,Domestic Aviation,0.0139083,1546646400
Spain,05-01-2019,International Aviation,0.0679741,1546646400
United Kingdom,05-01-2019,Domestic Aviation,0.00344174,1546646400
United Kingdom,05-01-2019,International Aviation,0.0900992,1546646400
United States,05-01-2019,Domestic Aviation,0.439722,1546646400
United States,05-01-2019,International Aviation,0.22573,1546646400
WORLD,05-01-2019,Domestic Aviation,0.917975,1546646400
WORLD,05-01-2019,International Aviation,1.73741,1546646400
Brazil,06-01-2019,Domestic Aviation,0.0296616,1546732800
Brazil,06-01-2019,International Aviation,0.0217569,1546732800
China,06-01-2019,Domestic Aviation,0.164577,1546732800
China,06-01-2019,International Aviation,0.0816107,1546732800
EU27 & UK,06-01-2019,Domestic Aviation,0.0391032,1546732800
EU27 & UK,06-01-2019,International Aviation,0.48614,1546732800
France,06-01-2019,Domestic Aviation,0.00503477,1546732800
France,06-01-2019,International Aviation,0.0548926,1546732800
Germany,06-01-2019,Domestic Aviation,0.00406599,1546732800
Germany,06-01-2019,International Aviation,0.0765872,1546732800
India,06-01-2019,Domestic Aviation,0.0199796,1546732800
India,06-01-2019,International Aviation,0.0370906,1546732800
Italy,06-01-2019,Domestic Aviation,0.00500853,1546732800
Italy,06-01-2019,International Aviation,0.0368916,1546732800
Japan,06-01-2019,Domestic Aviation,0.0253673,1546732800
Japan,06-01-2019,International Aviation,0.0519233,1546732800
ROW,06-01-2019,Domestic Aviation,0.181727,1546732800
ROW,06-01-2019,International Aviation,0.82582,1546732800
Russia,06-01-2019,Domestic Aviation,0.0371817,1546732800
Russia,06-01-2019,International Aviation,0.0325036,1546732800
Spain,06-01-2019,Domestic Aviation,0.0147236,1546732800
Spain,06-01-2019,International Aviation,0.0686508,1546732800
United Kingdom,06-01-2019,Domestic Aviation,0.00504531,1546732800
United Kingdom,06-01-2019,International Aviation,0.0932147,1546732800
United States,06-01-2019,Domestic Aviation,0.421437,1546732800
United States,06-01-2019,International Aviation,0.230217,1546732800
WORLD,06-01-2019,Domestic Aviation,0.919034,1546732800
WORLD,06-01-2019,International Aviation,1.76706,1546732800
Brazil,07-01-2019,Domestic Aviation,0.0327922,1546819200
Brazil,07-01-2019,International Aviation,0.0211263,1546819200
China,07-01-2019,Domestic Aviation,0.163271,1546819200
China,07-01-2019,International Aviation,0.0777384,1546819200
EU27 & UK,07-01-2019,Domestic Aviation,0.044521,1546819200
EU27 & UK,07-01-2019,International Aviation,0.448557,1546819200
France,07-01-2019,Domestic Aviation,0.00582022,1546819200
France,07-01-2019,International Aviation,0.0489514,1546819200
Germany,07-01-2019,Domestic Aviation,0.00582282,1546819200
Germany,07-01-2019,International Aviation,0.0710646,1546819200
India,07-01-2019,Domestic Aviation,0.0205101,1546819200
India,07-01-2019,International Aviation,0.033142,1546819200
Italy,07-01-2019,Domestic Aviation,0.00520269,1546819200
Italy,07-01-2019,International Aviation,0.0350687,1546819200
Japan,07-01-2019,Domestic Aviation,0.0247957,1546819200
Japan,07-01-2019,International Aviation,0.0507278,1546819200
ROW,07-01-2019,Domestic Aviation,0.187504,1546819200
ROW,07-01-2019,International Aviation,0.768752,1546819200
Russia,07-01-2019,Domestic Aviation,0.0406828,1546819200
Russia,07-01-2019,International Aviation,0.0298711,1546819200
Spain,07-01-2019,Domestic Aviation,0.0152122,1546819200
Spain,07-01-2019,International Aviation,0.0554813,1546819200
United Kingdom,07-01-2019,Domestic Aviation,0.00665517,1546819200
United Kingdom,07-01-2019,International Aviation,0.0870252,1546819200
United States,07-01-2019,Domestic Aviation,0.444809,1546819200
United States,07-01-2019,International Aviation,0.218505,1546819200
WORLD,07-01-2019,Domestic Aviation,0.958887,1546819200
WORLD,07-01-2019,International Aviation,1.64842,1546819200
Brazil,08-01-2019,Domestic Aviation,0.0325468,1546905600
Brazil,08-01-2019,International Aviation,0.0207483,1546905600
China,08-01-2019,Domestic Aviation,0.161448,1546905600
China,08-01-2019,International Aviation,0.0805038,1546905600
EU27 & UK,08-01-2019,Domestic Aviation,0.0412638,1546905600
EU27 & UK,08-01-2019,International Aviation,0.404728,1546905600
France,08-01-2019,Domestic Aviation,0.00553909,1546905600
France,08-01-2019,International Aviation,0.0462688,1546905600
Germany,08-01-2019,Domestic Aviation,0.0061852,1546905600
Germany,08-01-2019,International Aviation,0.0665375,1546905600
India,08-01-2019,Domestic Aviation,0.0201349,1546905600
India,08-01-2019,International Aviation,0.0340659,1546905600
Italy,08-01-2019,Domestic Aviation,0.00448577,1546905600
Italy,08-01-2019,International Aviation,0.0291542,1546905600
Japan,08-01-2019,Domestic Aviation,0.0241485,1546905600
Japan,08-01-2019,International Aviation,0.0499712,1546905600
ROW,08-01-2019,Domestic Aviation,0.183523,1546905600
ROW,08-01-2019,International Aviation,0.730787,1546905600
Russia,08-01-2019,Domestic Aviation,0.0402567,1546905600
Russia,08-01-2019,International Aviation,0.0319131,1546905600
Spain,08-01-2019,Domestic Aviation,0.0132839,1546905600
Spain,08-01-2019,International Aviation,0.0509393,1546905600
United Kingdom,08-01-2019,Domestic Aviation,0.00629097,1546905600
United Kingdom,08-01-2019,International Aviation,0.0813602,1546905600
United States,08-01-2019,Domestic Aviation,0.46525,1546905600
United States,08-01-2019,International Aviation,0.21119,1546905600
WORLD,08-01-2019,Domestic Aviation,0.968572,1546905600
WORLD,08-01-2019,International Aviation,1.56391,1546905600
Brazil,09-01-2019,Domestic Aviation,0.0326431,1546992000
Brazil,09-01-2019,International Aviation,0.0202281,1546992000
China,09-01-2019,Domestic Aviation,0.163608,1546992000
China,09-01-2019,International Aviation,0.0803937,1546992000
EU27 & UK,09-01-2019,Domestic Aviation,0.0421575,1546992000
EU27 & UK,09-01-2019,International Aviation,0.405174,1546992000
France,09-01-2019,Domestic Aviation,0.00585913,1546992000
France,09-01-2019,International Aviation,0.0412823,1546992000
Germany,09-01-2019,Domestic Aviation,0.00580074,1546992000
Germany,09-01-2019,International Aviation,0.0657769,1546992000
India,09-01-2019,Domestic Aviation,0.0208484,1546992000
India,09-01-2019,International Aviation,0.0361237,1546992000
Italy,09-01-2019,Domestic Aviation,0.00459602,1546992000
Italy,09-01-2019,International Aviation,0.0313091,1546992000
Japan,09-01-2019,Domestic Aviation,0.0242732,1546992000
Japan,09-01-2019,International Aviation,0.0510339,1546992000
ROW,09-01-2019,Domestic Aviation,0.179559,1546992000
ROW,09-01-2019,International Aviation,0.739299,1546992000
Russia,09-01-2019,Domestic Aviation,0.0388488,1546992000
Russia,09-01-2019,International Aviation,0.0311669,1546992000
Spain,09-01-2019,Domestic Aviation,0.0138558,1546992000
Spain,09-01-2019,International Aviation,0.0492928,1546992000
United Kingdom,09-01-2019,Domestic Aviation,0.00626325,1546992000
United Kingdom,09-01-2019,International Aviation,0.0799317,1546992000
United States,09-01-2019,Domestic Aviation,0.452928,1546992000
United States,09-01-2019,International Aviation,0.196897,1546992000
WORLD,09-01-2019,Domestic Aviation,0.954866,1546992000
WORLD,09-01-2019,International Aviation,1.56032,1546992000
Brazil,10-01-2019,Domestic Aviation,0.0343967,1547078400
Brazil,10-01-2019,International Aviation,0.0205821,1547078400
China,10-01-2019,Domestic Aviation,0.17105,1547078400
China,10-01-2019,International Aviation,0.0877607,1547078400
EU27 & UK,10-01-2019,Domestic Aviation,0.0422364,1547078400
EU27 & UK,10-01-2019,International Aviation,0.435045,1547078400
France,10-01-2019,Domestic Aviation,0.00585516,1547078400
France,10-01-2019,International Aviation,0.0471167,1547078400
Germany,10-01-2019,Domestic Aviation,0.00419166,1547078400
Germany,10-01-2019,International Aviation,0.0702494,1547078400
India,10-01-2019,Domestic Aviation,0.0209757,1547078400
India,10-01-2019,International Aviation,0.0367419,1547078400
Italy,10-01-2019,Domestic Aviation,0.00479602,1547078400
Italy,10-01-2019,International Aviation,0.0321148,1547078400
Japan,10-01-2019,Domestic Aviation,0.0257792,1547078400
Japan,10-01-2019,International Aviation,0.0512845,1547078400
ROW,10-01-2019,Domestic Aviation,0.193917,1547078400
ROW,10-01-2019,International Aviation,0.798263,1547078400
Russia,10-01-2019,Domestic Aviation,0.0396388,1547078400
Russia,10-01-2019,International Aviation,0.0357847,1547078400
Spain,10-01-2019,Domestic Aviation,0.014125,1547078400
Spain,10-01-2019,International Aviation,0.051929,1547078400
United Kingdom,10-01-2019,Domestic Aviation,0.00696554,1547078400
United Kingdom,10-01-2019,International Aviation,0.0873923,1547078400
United States,10-01-2019,Domestic Aviation,0.515588,1547078400
United States,10-01-2019,International Aviation,0.221134,1547078400
WORLD,10-01-2019,Domestic Aviation,1.04358,1547078400
WORLD,10-01-2019,International Aviation,1.6866,1547078400
Brazil,11-01-2019,Domestic Aviation,0.0284469,1547164800
Brazil,11-01-2019,International Aviation,0.0191754,1547164800
China,11-01-2019,Domestic Aviation,0.134222,1547164800
China,11-01-2019,International Aviation,0.0761435,1547164800
EU27 & UK,11-01-2019,Domestic Aviation,0.0434784,1547164800
EU27 & UK,11-01-2019,International Aviation,0.416337,1547164800
France,11-01-2019,Domestic Aviation,0.00625685,1547164800
France,11-01-2019,International Aviation,0.0471272,1547164800
Germany,11-01-2019,Domestic Aviation,0.005627,1547164800
Germany,11-01-2019,International Aviation,0.0671254,1547164800
India,11-01-2019,Domestic Aviation,0.0179522,1547164800
India,11-01-2019,International Aviation,0.0337822,1547164800
Italy,11-01-2019,Domestic Aviation,0.00406564,1547164800
Italy,11-01-2019,International Aviation,0.029852,1547164800
Japan,11-01-2019,Domestic Aviation,0.0178309,1547164800
Japan,11-01-2019,International Aviation,0.0490393,1547164800
ROW,11-01-2019,Domestic Aviation,0.151668,1547164800
ROW,11-01-2019,International Aviation,0.6898,1547164800
Russia,11-01-2019,Domestic Aviation,0.0350665,1547164800
Russia,11-01-2019,International Aviation,0.0288628,1547164800
Spain,11-01-2019,Domestic Aviation,0.0150469,1547164800
Spain,11-01-2019,International Aviation,0.0501283,1547164800
United Kingdom,11-01-2019,Domestic Aviation,0.00705288,1547164800
United Kingdom,11-01-2019,International Aviation,0.0816026,1547164800
United States,11-01-2019,Domestic Aviation,0.395234,1547164800
United States,11-01-2019,International Aviation,0.205953,1547164800
WORLD,11-01-2019,Domestic Aviation,0.823898,1547164800
WORLD,11-01-2019,International Aviation,1.51909,1547164800
Brazil,12-01-2019,Domestic Aviation,0.0321828,1547251200
Brazil,12-01-2019,International Aviation,0.0217717,1547251200
China,12-01-2019,Domestic Aviation,0.162364,1547251200
China,12-01-2019,International Aviation,0.0860654,1547251200
EU27 & UK,12-01-2019,Domestic Aviation,0.0286745,1547251200
EU27 & UK,12-01-2019,International Aviation,0.438825,1547251200
France,12-01-2019,Domestic Aviation,0.0031005,1547251200
France,12-01-2019,International Aviation,0.0497272,1547251200
Germany,12-01-2019,Domestic Aviation,0.00342146,1547251200
Germany,12-01-2019,International Aviation,0.0703604,1547251200
India,12-01-2019,Domestic Aviation,0.0207481,1547251200
India,12-01-2019,International Aviation,0.0367299,1547251200
Italy,12-01-2019,Domestic Aviation,0.00371116,1547251200
Italy,12-01-2019,International Aviation,0.0322049,1547251200
Japan,12-01-2019,Domestic Aviation,0.0246975,1547251200
Japan,12-01-2019,International Aviation,0.0519769,1547251200
ROW,12-01-2019,Domestic Aviation,0.160681,1547251200
ROW,12-01-2019,International Aviation,0.778573,1547251200
Russia,12-01-2019,Domestic Aviation,0.0359027,1547251200
Russia,12-01-2019,International Aviation,0.0355473,1547251200
Spain,12-01-2019,Domestic Aviation,0.0122991,1547251200
Spain,12-01-2019,International Aviation,0.0629617,1547251200
United Kingdom,12-01-2019,Domestic Aviation,0.00290952,1547251200
United Kingdom,12-01-2019,International Aviation,0.0840989,1547251200
United States,12-01-2019,Domestic Aviation,0.404564,1547251200
United States,12-01-2019,International Aviation,0.219385,1547251200
WORLD,12-01-2019,Domestic Aviation,0.869814,1547251200
WORLD,12-01-2019,International Aviation,1.66887,1547251200
Brazil,13-01-2019,Domestic Aviation,0.0296433,1547337600
Brazil,13-01-2019,International Aviation,0.0210638,1547337600
China,13-01-2019,Domestic Aviation,0.162084,1547337600
China,13-01-2019,International Aviation,0.0834255,1547337600
EU27 & UK,13-01-2019,Domestic Aviation,0.0366559,1547337600
EU27 & UK,13-01-2019,International Aviation,0.451675,1547337600
France,13-01-2019,Domestic Aviation,0.00442702,1547337600
France,13-01-2019,International Aviation,0.0530586,1547337600
Germany,13-01-2019,Domestic Aviation,0.00422419,1547337600
Germany,13-01-2019,International Aviation,0.0721419,1547337600
India,13-01-2019,Domestic Aviation,0.0204254,1547337600
India,13-01-2019,International Aviation,0.0364697,1547337600
Italy,13-01-2019,Domestic Aviation,0.0043871,1547337600
Italy,13-01-2019,International Aviation,0.0354202,1547337600
Japan,13-01-2019,Domestic Aviation,0.0244318,1547337600
Japan,13-01-2019,International Aviation,0.051872,1547337600
ROW,13-01-2019,Domestic Aviation,0.169376,1547337600
ROW,13-01-2019,International Aviation,0.784001,1547337600
Russia,13-01-2019,Domestic Aviation,0.0375557,1547337600
Russia,13-01-2019,International Aviation,0.0322592,1547337600
Spain,13-01-2019,Domestic Aviation,0.0140476,1547337600
Spain,13-01-2019,International Aviation,0.0606333,1547337600
United Kingdom,13-01-2019,Domestic Aviation,0.00480087,1547337600
United Kingdom,13-01-2019,International Aviation,0.0874279,1547337600
United States,13-01-2019,Domestic Aviation,0.361002,1547337600
United States,13-01-2019,International Aviation,0.2174,1547337600
WORLD,13-01-2019,Domestic Aviation,0.841174,1547337600
WORLD,13-01-2019,International Aviation,1.67817,1547337600
Brazil,14-01-2019,Domestic Aviation,0.0327461,1547424000
Brazil,14-01-2019,International Aviation,0.02029,1547424000
China,14-01-2019,Domestic Aviation,0.16817,1547424000
China,14-01-2019,International Aviation,0.0801648,1547424000
EU27 & UK,14-01-2019,Domestic Aviation,0.0445252,1547424000
EU27 & UK,14-01-2019,International Aviation,0.420691,1547424000
France,14-01-2019,Domestic Aviation,0.00621887,1547424000
France,14-01-2019,International Aviation,0.04547,1547424000
Germany,14-01-2019,Domestic Aviation,0.00642825,1547424000
Germany,14-01-2019,International Aviation,0.0675311,1547424000
India,14-01-2019,Domestic Aviation,0.0206007,1547424000
India,14-01-2019,International Aviation,0.0326804,1547424000
Italy,14-01-2019,Domestic Aviation,0.00487339,1547424000
Italy,14-01-2019,International Aviation,0.0311303,1547424000
Japan,14-01-2019,Domestic Aviation,0.0247213,1547424000
Japan,14-01-2019,International Aviation,0.0495043,1547424000
ROW,14-01-2019,Domestic Aviation,0.182863,1547424000
ROW,14-01-2019,International Aviation,0.748949,1547424000
